 ,Label,Area,X,Y,BX,BY,Width,Height
179,20231005-B-S-SP-left-I_00-1.tif,7.329,1595.937,716.073,1594.583,714.720,2.707,2.707
180,20231005-B-S-SP-left-I_00-1.tif,7.329,1005.752,718.781,1004.398,717.427,2.707,2.707
181,20231005-B-S-SP-left-I_00-1.tif,1817.672,1176.593,740.646,1150.591,717.427,51.438,46.024
182,20231005-B-S-SP-left-I_00-1.tif,14.659,1007.105,726.903,1004.398,725.549,5.415,2.707
183,20231005-B-S-SP-left-I_00-1.tif,14.659,1311.673,747.207,1310.320,744.500,2.707,5.415
184,20231005-B-S-SP-left-I_00-1.tif,7.329,1893.737,770.219,1892.383,768.865,2.707,2.707
185,20231005-B-S-SP-left-I_00-1.tif,36.647,1980.911,771.302,1976.309,768.865,8.122,5.415
186,20231005-B-S-SP-left-I_00-1.tif,131.928,1898.399,779.845,1889.676,774.280,16.244,10.829
187,20231005-B-S-SP-left-I_00-1.tif,344.478,2103.867,785.829,2092.721,774.280,24.365,21.658
188,20231005-B-S-SP-left-I_00-1.tif,43.976,987.252,780.597,982.740,776.987,8.122,8.122
189,20231005-B-S-SP-left-I_00-1.tif,234.538,1450.506,784.009,1440.269,776.987,24.365,13.536
190,20231005-B-S-SP-left-I_00-1.tif,14.659,1330.624,782.402,1329.271,779.694,2.707,5.415
191,20231005-B-S-SP-left-I_00-1.tif,14.659,1337.392,781.048,1334.685,779.694,5.415,2.707
192,20231005-B-S-SP-left-I_00-1.tif,14.659,1424.025,783.755,1421.318,782.402,5.415,2.707
193,20231005-B-S-SP-left-I_00-1.tif,498.394,1683.326,795.938,1670.387,782.402,27.073,29.780
194,20231005-B-S-SP-left-I_00-1.tif,7.329,1363.111,786.462,1361.758,785.109,2.707,2.707
195,20231005-B-S-SP-left-I_00-1.tif,95.281,1408.302,790.836,1402.367,785.109,10.829,10.829
196,20231005-B-S-SP-left-I_00-1.tif,2645.885,922.224,816.932,890.692,787.816,62.267,56.853
197,20231005-B-S-SP-left-I_00-1.tif,87.952,1451.549,796.164,1442.976,793.231,18.951,8.122
198,20231005-B-S-SP-left-I_00-1.tif,7.329,1853.128,802.706,1851.774,801.352,2.707,2.707
199,20231005-B-S-SP-left-I_00-1.tif,1414.559,704.529,827.745,682.233,806.767,46.024,40.609
200,20231005-B-S-SP-left-I_00-1.tif,864.860,1701.383,831.224,1675.801,806.767,43.316,40.609
201,20231005-B-S-SP-left-I_00-1.tif,58.635,1851.097,812.182,1846.359,806.767,10.829,10.829
202,20231005-B-S-SP-left-I_00-1.tif,36.647,1537.460,812.994,1532.316,809.474,10.829,5.415
203,20231005-B-S-SP-left-I_00-1.tif,7.329,1363.111,816.242,1361.758,814.889,2.707,2.707
204,20231005-B-S-SP-left-I_00-1.tif,7.329,1368.526,816.242,1367.172,814.889,2.707,2.707
205,20231005-B-S-SP-left-I_00-1.tif,87.952,2044.667,820.980,2038.576,814.889,10.829,10.829
206,20231005-B-S-SP-left-I_00-1.tif,7.329,1460.573,818.950,1459.220,817.596,2.707,2.707
207,20231005-B-S-SP-left-I_00-1.tif,7.329,1536.377,818.950,1535.023,817.596,2.707,2.707
208,20231005-B-S-SP-left-I_00-1.tif,7.329,794.584,821.657,793.231,820.303,2.707,2.707
209,20231005-B-S-SP-left-I_00-1.tif,102.610,1365.625,826.298,1359.051,820.303,13.536,10.829
210,20231005-B-S-SP-left-I_00-1.tif,95.281,1286.683,831.653,1280.540,823.011,10.829,16.244
211,20231005-B-S-SP-left-I_00-1.tif,7.329,1609.473,824.364,1608.120,823.011,2.707,2.707
212,20231005-B-S-SP-left-I_00-1.tif,14.659,1696.106,825.718,1694.752,823.011,2.707,5.415
213,20231005-B-S-SP-left-I_00-1.tif,21.988,1278.284,828.876,1275.125,825.718,5.415,5.415
214,20231005-B-S-SP-left-I_00-1.tif,7.329,1579.693,827.072,1578.340,825.718,2.707,2.707
215,20231005-B-S-SP-left-I_00-1.tif,7.329,1682.570,827.072,1681.216,825.718,2.707,2.707
216,20231005-B-S-SP-left-I_00-1.tif,14.659,1494.414,832.486,1491.707,831.132,5.415,2.707
217,20231005-B-S-SP-left-I_00-1.tif,710.944,1436.822,860.759,1418.610,844.669,35.195,32.487
218,20231005-B-S-SP-left-I_00-1.tif,3466.769,1084.354,878.659,1047.714,847.376,75.804,62.267
219,20231005-B-S-SP-left-I_00-1.tif,58.635,1491.030,852.452,1486.292,847.376,8.122,10.829
220,20231005-B-S-SP-left-I_00-1.tif,65.964,1138.709,853.843,1134.347,850.083,10.829,8.122
221,20231005-B-S-SP-left-I_00-1.tif,14.659,1863.957,866.327,1862.603,863.620,2.707,5.415
222,20231005-B-S-SP-left-I_00-1.tif,7.329,1465.988,867.681,1464.634,866.327,2.707,2.707
223,20231005-B-S-SP-left-I_00-1.tif,7.329,1985.784,867.681,1984.430,866.327,2.707,2.707
224,20231005-B-S-SP-left-I_00-1.tif,417.771,1155.506,882.024,1142.469,869.034,27.073,24.365
225,20231005-B-S-SP-left-I_00-1.tif,227.209,1572.707,884.623,1562.096,871.742,24.365,21.658
226,20231005-B-S-SP-left-I_00-1.tif,7.329,1273.771,875.802,1272.418,874.449,2.707,2.707
227,20231005-B-S-SP-left-I_00-1.tif,2609.238,1355.263,900.122,1321.149,874.449,70.389,51.438
228,20231005-B-S-SP-left-I_00-1.tif,622.992,1483.474,903.671,1467.341,887.985,32.487,29.780
229,20231005-B-S-SP-left-I_00-1.tif,1817.672,515.430,913.759,490.016,890.692,51.438,46.024
230,20231005-B-S-SP-left-I_00-1.tif,1341.266,1541.777,923.838,1518.780,901.522,43.316,43.316
231,20231005-B-S-SP-left-I_00-1.tif,58.635,1638.576,909.305,1632.485,904.229,10.829,10.829
232,20231005-B-S-SP-left-I_00-1.tif,1231.326,579.550,933.123,557.698,915.058,43.316,37.902
233,20231005-B-S-SP-left-I_00-1.tif,212.550,1848.180,927.241,1838.238,920.472,21.658,13.536
234,20231005-B-S-SP-left-I_00-1.tif,7.329,1425.379,927.241,1424.025,925.887,2.707,2.707
235,20231005-B-S-SP-left-I_00-1.tif,14.659,1003.044,931.302,1001.691,928.594,2.707,5.415
236,20231005-B-S-SP-left-I_00-1.tif,205.221,1422.285,938.940,1413.196,931.302,16.244,16.244
237,20231005-B-S-SP-left-I_00-1.tif,1832.330,2025.451,963.009,1997.967,939.423,54.145,46.024
238,20231005-B-S-SP-left-I_00-1.tif,835.543,346.578,958.683,330.287,942.131,35.195,32.487
239,20231005-B-S-SP-left-I_00-1.tif,51.305,937.683,949.672,934.009,944.838,8.122,8.122
240,20231005-B-S-SP-left-I_00-1.tif,7.329,1687.984,946.192,1686.630,944.838,2.707,2.707
241,20231005-B-S-SP-left-I_00-1.tif,7.329,989.508,951.606,988.154,950.252,2.707,2.707
242,20231005-B-S-SP-left-I_00-1.tif,7.329,1325.210,954.313,1323.856,952.960,2.707,2.707
243,20231005-B-S-SP-left-I_00-1.tif,7.329,1292.722,957.021,1291.369,955.667,2.707,2.707
244,20231005-B-S-SP-left-I_00-1.tif,153.916,1635.128,961.662,1627.070,955.667,16.244,13.536
245,20231005-B-S-SP-left-I_00-1.tif,29.317,1590.522,962.435,1586.461,958.374,8.122,8.122
246,20231005-B-S-SP-left-I_00-1.tif,7.329,2053.466,962.435,2052.112,961.082,2.707,2.707
247,20231005-B-S-SP-left-I_00-1.tif,14.659,1173.602,966.496,1172.249,963.789,2.707,5.415
248,20231005-B-S-SP-left-I_00-1.tif,14.659,1643.314,970.557,1640.607,969.203,5.415,2.707
249,20231005-B-S-SP-left-I_00-1.tif,7.329,1585.108,973.264,1583.754,971.911,2.707,2.707
250,20231005-B-S-SP-left-I_00-1.tif,73.293,1183.078,980.574,1177.663,974.618,10.829,10.829
251,20231005-B-S-SP-left-I_00-1.tif,505.723,1556.191,987.154,1543.145,974.618,27.073,24.365
252,20231005-B-S-SP-left-I_00-1.tif,747.591,1606.368,995.188,1581.047,980.032,43.316,35.195
253,20231005-B-S-SP-left-I_00-1.tif,102.610,1409.909,992.409,1402.367,985.447,13.536,13.536
254,20231005-B-S-SP-left-I_00-1.tif,249.197,1235.949,1010.449,1223.687,998.983,21.658,21.658
255,20231005-B-S-SP-left-I_00-1.tif,29.317,1355.666,1001.014,1350.929,998.983,8.122,5.415
256,20231005-B-S-SP-left-I_00-1.tif,2242.772,2007.424,1024.862,1976.309,998.983,62.267,51.438
257,20231005-B-S-SP-left-I_00-1.tif,644.980,1777.232,1018.611,1762.434,1001.691,29.780,32.487
258,20231005-B-S-SP-left-I_00-1.tif,549.699,1043.762,1027.193,1028.763,1012.520,29.780,29.780
259,20231005-B-S-SP-left-I_00-1.tif,7.329,1549.913,1016.581,1548.560,1015.227,2.707,2.707
260,20231005-B-S-SP-left-I_00-1.tif,1377.912,1591.213,1036.684,1570.218,1015.227,43.316,43.316
261,20231005-B-S-SP-left-I_00-1.tif,1934.941,1848.359,1044.074,1821.994,1020.642,54.145,48.731
262,20231005-B-S-SP-left-I_00-1.tif,7.329,1246.699,1024.702,1245.345,1023.349,2.707,2.707
263,20231005-B-S-SP-left-I_00-1.tif,58.635,1307.951,1028.763,1302.198,1023.349,10.829,10.829
264,20231005-B-S-SP-left-I_00-1.tif,762.249,1396.041,1041.987,1378.001,1026.056,35.195,32.487
265,20231005-B-S-SP-left-I_00-1.tif,7.329,1287.308,1030.117,1285.954,1028.763,2.707,2.707
266,20231005-B-S-SP-left-I_00-1.tif,7.329,2215.902,1032.824,2214.548,1031.471,2.707,2.707
267,20231005-B-S-SP-left-I_00-1.tif,29.317,1434.854,1043.653,1429.440,1039.592,10.829,8.122
268,20231005-B-S-SP-left-I_00-1.tif,14.659,1445.683,1045.007,1442.976,1042.300,5.415,5.415
269,20231005-B-S-SP-left-I_00-1.tif,14.659,1349.575,1053.129,1348.221,1050.422,2.707,5.415
270,20231005-B-S-SP-left-I_00-1.tif,7.329,1344.161,1054.482,1342.807,1053.129,2.707,2.707
271,20231005-B-S-SP-left-I_00-1.tif,51.305,1351.896,1060.284,1345.514,1055.836,13.536,8.122
272,20231005-B-S-SP-left-I_00-1.tif,73.293,1431.605,1065.582,1424.025,1061.251,13.536,8.122
273,20231005-B-S-SP-left-I_00-1.tif,1912.953,1579.413,1090.922,1553.974,1066.665,54.145,48.731
274,20231005-B-S-SP-left-I_00-1.tif,7.329,2004.735,1068.019,2003.381,1066.665,2.707,2.707
275,20231005-B-S-SP-left-I_00-1.tif,14.659,2011.503,1076.141,2008.796,1074.787,5.415,2.707
276,20231005-B-S-SP-left-I_00-1.tif,124.598,1342.568,1085.218,1334.685,1080.201,16.244,10.829
277,20231005-B-S-SP-left-I_00-1.tif,124.598,1766.495,1086.173,1759.727,1080.201,16.244,10.829
278,20231005-B-S-SP-left-I_00-1.tif,307.831,1904.501,1093.351,1892.383,1080.201,24.365,21.658
279,20231005-B-S-SP-left-I_00-1.tif,1092.069,1475.999,1103.649,1456.512,1085.616,37.902,35.195
280,20231005-B-S-SP-left-I_00-1.tif,43.976,1998.418,1089.226,1992.552,1085.616,13.536,8.122
281,20231005-B-S-SP-left-I_00-1.tif,7.329,1003.044,1089.677,1001.691,1088.323,2.707,2.707
282,20231005-B-S-SP-left-I_00-1.tif,14.659,1773.263,1096.445,1770.556,1093.738,5.415,5.415
283,20231005-B-S-SP-left-I_00-1.tif,21.988,1787.251,1095.994,1784.092,1093.738,5.415,5.415
284,20231005-B-S-SP-left-I_00-1.tif,146.586,972.181,1105.108,963.789,1099.152,16.244,13.536
285,20231005-B-S-SP-left-I_00-1.tif,7.329,1327.917,1100.506,1326.563,1099.152,2.707,2.707
286,20231005-B-S-SP-left-I_00-1.tif,14.659,1373.941,1101.860,1372.587,1099.152,2.707,5.415
287,20231005-B-S-SP-left-I_00-1.tif,7.329,1379.355,1100.506,1378.001,1099.152,2.707,2.707
288,20231005-B-S-SP-left-I_00-1.tif,21.988,1741.227,1101.408,1738.069,1099.152,5.415,5.415
289,20231005-B-S-SP-left-I_00-1.tif,14.659,1781.385,1100.506,1778.678,1099.152,5.415,2.707
290,20231005-B-S-SP-left-I_00-1.tif,285.844,1237.119,1110.502,1226.394,1101.860,21.658,18.951
291,20231005-B-S-SP-left-I_00-1.tif,7.329,1292.722,1103.213,1291.369,1101.860,2.707,2.707
292,20231005-B-S-SP-left-I_00-1.tif,87.952,2191.311,1108.853,2187.476,1101.860,8.122,13.536
293,20231005-B-S-SP-left-I_00-1.tif,36.647,1772.451,1115.667,1767.849,1112.689,8.122,5.415
294,20231005-B-S-SP-left-I_00-1.tif,7.329,1780.031,1114.042,1778.678,1112.689,2.707,2.707
295,20231005-B-S-SP-left-I_00-1.tif,7.329,1227.748,1119.457,1226.394,1118.103,2.707,2.707
296,20231005-B-S-SP-left-I_00-1.tif,58.635,1164.804,1126.225,1158.712,1120.811,10.829,10.829
297,20231005-B-S-SP-left-I_00-1.tif,322.490,1333.024,1130.840,1318.441,1120.811,24.365,24.365
298,20231005-B-S-SP-left-I_00-1.tif,7.329,1406.428,1124.871,1405.074,1123.518,2.707,2.707
299,20231005-B-S-SP-left-I_00-1.tif,7.329,1141.115,1130.286,1139.761,1128.932,2.707,2.707
300,20231005-B-S-SP-left-I_00-1.tif,7.329,1403.720,1132.993,1402.367,1131.640,2.707,2.707
301,20231005-B-S-SP-left-I_00-1.tif,14.659,1233.162,1137.054,1231.809,1134.347,2.707,5.415
302,20231005-B-S-SP-left-I_00-1.tif,7.329,1325.210,1135.701,1323.856,1134.347,2.707,2.707
303,20231005-B-S-SP-left-I_00-1.tif,7.329,1225.041,1138.408,1223.687,1137.054,2.707,2.707
304,20231005-B-S-SP-left-I_00-1.tif,7.329,1225.041,1143.822,1223.687,1142.469,2.707,2.707
305,20231005-B-S-SP-left-I_00-1.tif,7.329,1230.455,1143.822,1229.101,1142.469,2.707,2.707
306,20231005-B-S-SP-left-I_00-1.tif,7.329,1043.653,1149.237,1042.300,1147.883,2.707,2.707
307,20231005-B-S-SP-left-I_00-1.tif,29.317,1185.785,1149.237,1180.371,1147.883,10.829,2.707
308,20231005-B-S-SP-left-I_00-1.tif,190.562,1091.759,1158.608,1082.909,1150.591,18.951,18.951
309,20231005-B-S-SP-left-I_00-1.tif,65.964,1510.808,1158.863,1505.243,1153.298,10.829,10.829
310,20231005-B-S-SP-left-I_00-1.tif,7.329,1336.039,1160.066,1334.685,1158.712,2.707,2.707
311,20231005-B-S-SP-left-I_00-1.tif,7.329,2137.391,1160.066,2136.038,1158.712,2.707,2.707
312,20231005-B-S-SP-left-I_00-1.tif,256.526,1159.138,1180.564,1147.883,1172.249,21.658,18.951
313,20231005-B-S-SP-left-I_00-1.tif,1260.643,1695.665,1193.183,1673.094,1172.249,54.145,43.316
314,20231005-B-S-SP-left-I_00-1.tif,1751.708,2037.981,1194.128,2011.503,1172.249,54.145,48.731
315,20231005-B-S-SP-left-I_00-1.tif,14.659,1442.976,1183.078,1440.269,1180.371,5.415,5.415
316,20231005-B-S-SP-left-I_00-1.tif,7.329,1476.817,1181.724,1475.463,1180.371,2.707,2.707
317,20231005-B-S-SP-left-I_00-1.tif,87.952,1109.530,1189.620,1104.567,1183.078,10.829,10.829
318,20231005-B-S-SP-left-I_00-1.tif,7.329,1614.888,1184.431,1613.534,1183.078,2.707,2.707
319,20231005-B-S-SP-left-I_00-1.tif,21.988,1650.082,1184.431,1646.021,1183.078,8.122,2.707
320,20231005-B-S-SP-left-I_00-1.tif,1693.073,816.981,1211.785,790.523,1188.492,51.438,46.024
321,20231005-B-S-SP-left-I_00-1.tif,183.233,1440.973,1195.369,1429.440,1188.492,24.365,13.536
322,20231005-B-S-SP-left-I_00-1.tif,249.197,1571.332,1196.535,1556.681,1188.492,32.487,16.244
323,20231005-B-S-SP-left-I_00-1.tif,36.647,1372.316,1193.095,1367.172,1191.200,10.829,5.415
324,20231005-B-S-SP-left-I_00-1.tif,7.329,1647.375,1192.553,1646.021,1191.200,2.707,2.707
325,20231005-B-S-SP-left-I_00-1.tif,7.329,1206.090,1195.261,1204.736,1193.907,2.707,2.707
326,20231005-B-S-SP-left-I_00-1.tif,7.329,1501.182,1195.261,1499.829,1193.907,2.707,2.707
327,20231005-B-S-SP-left-I_00-1.tif,7.329,1303.551,1197.968,1302.198,1196.614,2.707,2.707
328,20231005-B-S-SP-left-I_00-1.tif,329.819,1327.676,1207.173,1315.734,1196.614,24.365,21.658
329,20231005-B-S-SP-left-I_00-1.tif,7.329,1636.546,1197.968,1635.192,1196.614,2.707,2.707
330,20231005-B-S-SP-left-I_00-1.tif,571.687,948.448,1211.296,934.009,1199.321,27.073,24.365
331,20231005-B-S-SP-left-I_00-1.tif,227.209,2077.744,1212.290,2068.356,1202.029,16.244,18.951
332,20231005-B-S-SP-left-I_00-1.tif,14.659,1082.909,1207.443,1080.201,1204.736,5.415,5.415
333,20231005-B-S-SP-left-I_00-1.tif,3657.331,1492.518,1236.635,1456.512,1204.736,73.096,64.975
334,20231005-B-S-SP-left-I_00-1.tif,36.647,1064.770,1213.670,1061.251,1210.151,8.122,8.122
335,20231005-B-S-SP-left-I_00-1.tif,7.329,1284.601,1211.504,1283.247,1210.151,2.707,2.707
336,20231005-B-S-SP-left-I_00-1.tif,1187.350,1404.356,1229.853,1383.416,1210.151,43.316,37.902
337,20231005-B-S-SP-left-I_00-1.tif,36.647,1818.475,1230.455,1813.872,1226.394,8.122,8.122
338,20231005-B-S-SP-left-I_00-1.tif,36.647,1885.073,1232.079,1881.554,1229.101,8.122,5.415
339,20231005-B-S-SP-left-I_00-1.tif,21.988,1111.335,1242.187,1107.274,1239.931,8.122,5.415
340,20231005-B-S-SP-left-I_00-1.tif,7.329,1549.913,1241.284,1548.560,1239.931,2.707,2.707
341,20231005-B-S-SP-left-I_00-1.tif,571.687,641.623,1259.819,628.087,1245.345,27.073,27.073
342,20231005-B-S-SP-left-I_00-1.tif,29.317,1112.689,1249.406,1107.274,1248.052,10.829,2.707
343,20231005-B-S-SP-left-I_00-1.tif,36.647,1320.337,1254.821,1315.734,1250.760,8.122,8.122
344,20231005-B-S-SP-left-I_00-1.tif,43.976,2060.234,1257.077,2052.112,1253.467,16.244,5.415
345,20231005-B-S-SP-left-I_00-1.tif,14.659,1648.729,1258.881,1646.021,1256.174,5.415,5.415
346,20231005-B-S-SP-left-I_00-1.tif,73.293,1663.348,1260.777,1654.143,1256.174,18.951,10.829
347,20231005-B-S-SP-left-I_00-1.tif,7.329,1655.497,1262.942,1654.143,1261.589,2.707,2.707
348,20231005-B-S-SP-left-I_00-1.tif,7.329,2048.051,1262.942,2046.698,1261.589,2.707,2.707
349,20231005-B-S-SP-left-I_00-1.tif,161.245,2055.558,1270.326,2043.990,1261.589,24.365,16.244
350,20231005-B-S-SP-left-I_00-1.tif,87.952,1149.914,1270.839,1145.176,1264.296,10.829,10.829
351,20231005-B-S-SP-left-I_00-1.tif,7.329,1604.059,1265.650,1602.705,1264.296,2.707,2.707
